Name,Genres,Type,Episodes,Aired,Members,Score
Video Girl Ai,"Comedy, Drama, Romance, Ecchi",OVA,6,"Mar 27, 1992 to Aug 28, 1992",28878,7.2
Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,26,"Jan 7, 2003 to Jul 29, 2003",319198,7.8
Words Worth,"Adventure, Fantasy, Hentai",OVA,5,"Aug 25, 1999 to Nov 25, 2000",8596,6.72
Yumeria,"Action, Comedy, Ecchi",TV,12,"Jan 9, 2004 to Mar 26, 2004",27542,6.08
Samurai Champloo,"Action, Adventure, Comedy",TV,26,"May 20, 2004 to Mar 19, 2005",1187090,8.51
Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Fantasy, Romance",TV,27,"Apr 1, 1998 to Sep 30, 1998",31538,7.13
Lodoss-tou Senki,"Action, Adventure, Fantasy",OVA,13,"Jun 30, 1990 to Nov 23, 1991",67678,7.36
R.O.D: Read or Die,"Action, Adventure, Mystery, Sci-Fi",OVA,3,"May 23, 2001 to Feb 6, 2002",65589,7.63
R.O.D: The TV,"Action, Adventure, Comedy, Drama, Sci-Fi",TV,26,"Sep 1, 2003 to Mar 16, 2004",67805,7.53
Ranma ½,"Action, Comedy, Fantasy",TV,161,"Apr 15, 1989 to Sep 25, 1992",245209,7.76
Pure Mail,Hentai,OVA,2,"Sep 25, 2001 to Dec 21, 2001",3735,6.17
Project A-Ko,"Action, Adventure, Comedy, Sci-Fi",Movie,1,"Jun 21, 1986",19646,6.85
Pia Carrot e Youkoso!!,"Comedy, Hentai",OVA,3,"Oct 24, 1997 to Apr 24, 1998",3582,5.94
Pia Carrot e Youkoso!! 2,"Comedy, Romance, Hentai",OVA,3,"Oct 23, 1998 to Apr 23, 1999",2472,6.07
Pia Carrot e Youkoso!! 2 DX,"Comedy, Romance",OVA,6,"Dec 18, 1999 to Oct 25, 2000",2592,6.19
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"Comedy, Romance",Movie,1,"Oct 19, 2002",2878,5.81
Shin Angel,"Comedy, Drama, Romance, Hentai",OVA,5,"Oct 21, 1994 to Nov 22, 1995",3175,6.17
Kidou Senkan Nadesico,"Action, Romance, Sci-Fi",TV,26,"Oct 1, 1996 to Mar 25, 1997",52289,7.49
Kidou Senkan Nadesico: The Prince of Darkness,"Action, Award Winning, Drama, Sci-Fi",Movie,1,"Aug 1, 1998",15786,6.73
Kuro no Danshou,"Horror, Hentai",OVA,4,"Oct 29, 1999 to Sep 25, 2000",2820,5.62
Mezzo Forte,"Action, Comedy, Sci-Fi, Hentai",OVA,2,"May 25, 2000 to Jun 25, 2001",31422,6.62
Mezzo DSA,"Action, Adventure, Comedy, Mystery, Sci-Fi",TV,13,"Jan 4, 2004 to Mar 28, 2004",21598,6.65
Dragon Ball,"Action, Adventure, Comedy, Fantasy",TV,153,"Feb 26, 1986 to Apr 12, 1989",989241,7.96
Dragon Ball GT,"Action, Adventure, Comedy, Fantasy",TV,64,"Feb 7, 1996 to Nov 19, 1997",607445,6.48
Elfen Lied,"Action, Drama, Horror, Romance, Supernatural",TV,13,"Jul 25, 2004 to Oct 17, 2004",1462904,7.48
FLCL,"Action, Avant Garde, Comedy, Sci-Fi",OVA,6,"Apr 26, 2000 to Mar 16, 2001",786606,8.03
Jigoku Shoujo,"Horror, Mystery, Supernatural",TV,26,"Oct 5, 2005 to Apr 5, 2006",347632,7.61
Ninin ga Shinobuden,Comedy,TV,12,"Jul 10, 2004 to Sep 25, 2004",34202,6.89
Air Master,"Action, Comedy",TV,27,"Apr 2, 2003 to Oct 1, 2003",37581,6.97
Asagiri no Miko,"Action, Comedy, Fantasy, Supernatural",TV,26,"Jul 4, 2002 to Dec 26, 2002",7764,6.1
Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Romance",TV,70,"Apr 7, 1998 to Mar 21, 2000",420586,8.16
Daa! Daa! Daa!,"Comedy, Sci-Fi",TV,78,"Mar 28, 2000 to Feb 26, 2002",24641,7.66
Dan Doh!!,"Adventure, Sports",TV,26,"Apr 3, 2004 to Sep 25, 2004",4147,6.63
Detective Conan,"Adventure, Comedy, Mystery",TV,0,"Jan 8, 1996 to ?",334559,8.17
E's Otherwise,"Adventure, Comedy, Drama, Sci-Fi, Supernatural",TV,26,"Apr 1, 2003 to Sep 23, 2003",16192,6.59
Koukyoushihen Eureka Seven,"Adventure, Drama, Romance, Sci-Fi",TV,50,"Apr 17, 2005 to Apr 2, 2006",426718,8.06
Rekka no Honoo,"Action, Adventure",TV,42,"Jul 19, 1997 to Jul 10, 1998",64991,7.34
Gankutsuou,"Award Winning, Drama, Mystery, Sci-Fi, Supernatural, Suspense",TV,24,"Oct 6, 2004 to Mar 30, 2005",240869,8.14
Genshiken,"Comedy, Slice of Life",TV,12,"Oct 11, 2004 to Dec 27, 2004",174114,7.63
Girls Bravo: First Season,"Comedy, Fantasy, Romance, Ecchi",TV,11,"Jul 5, 2004 to Sep 27, 2004",145089,6.38
Gokusen,"Comedy, Drama, Slice of Life",TV,13,"Jan 7, 2004 to Mar 31, 2004",44329,7.41
Gravitation,"Boys Love, Comedy",TV,13,"Oct 4, 2000 to Jan 10, 2001",117359,6.93
Agatha Christie no Meitantei Poirot to Marple,Mystery,TV,39,"Jul 4, 2004 to May 15, 2005",7577,6.83
Great Teacher Onizuka,Comedy,TV,43,"Jun 30, 1999 to Sep 17, 2000",788251,8.69
