Name,Genres,Type,Episodes,Aired,Members,Score
Can Wa Yu Tianchi Guaishou: Ruixue Zhao Fengnian,"Adventure, Fantasy",Movie,1,"Feb 16, 2019",56,0.0
Xi Yue Hui,Fantasy,ONA,1,"Nov 25, 2019",48,0.0
Wo de Pengyou Zhu Dike,"Comedy, Fantasy",TV,52,Mar 2014 to ?,41,0.0
Zhu Dike: Guguai Dao Da Maoxian I,"Adventure, Fantasy",TV,26,"Nov 14, 2016 to ?",47,0.0
Zhu Dike: Guguai Dao Da Maoxian II,"Adventure, Fantasy",TV,26,"Aug 14, 2017 to ?",46,0.0
Zhu Dike: Mengxiang Xunlian Ying,Fantasy,TV,26,2018 to ?,42,0.0
Zhu Dike: Caihong Jiejie Jiang Gushi,Fantasy,TV,10,2016 to ?,42,0.0
Kong Tian Zhandui,"Action, Adventure, Sci-Fi",TV,52,"Sep 15, 2017 to ?",50,0.0
Kong Tian Zhandui: Zui Xing Shou Dazhan,"Action, Adventure, Sci-Fi",Movie,1,"May 18, 2019",55,0.0
Shenhai Tegong Dui,"Adventure, Sci-Fi",TV,26,"Aug 10, 2016 to ?",46,0.0
Shenhai Tegong Dui: Chao Neng Jing Shi,"Adventure, Fantasy, Sci-Fi",Movie,1,"Nov 2, 2019",53,0.0
Qiche Xiao Zhen Huwei Dui,Fantasy,ONA,13,2020 to ?,41,0.0
One of Us,UNKNOWN,Music,1,"Oct 19, 2020",249,6.24
Title Idol,UNKNOWN,Music,1,"Dec 20, 2020",262,6.33
Dongwu Tegong Ju,"Adventure, Fantasy",Movie,1,"Jan 11, 2020",85,0.0
Xiao Meirenyu de Qihuan Maoxian,"Adventure, Fantasy",Movie,1,"Apr 3, 2021",91,0.0
Xingji Da Taowang,"Adventure, Fantasy, Sci-Fi",Movie,1,"Jun 1, 2020",58,0.0
Alibaba Yu Shen Deng,"Adventure, Fantasy",Movie,1,"Sep 5, 2020",65,0.0
Qimiao Wangguo: Mofa Qi Yuan,"Adventure, Fantasy",Movie,1,"Dec 26, 2020",67,0.0
Zui Ke Ai De Ren,UNKNOWN,TV,14,"Oct 18, 2016 to ?",63,0.0
Long Shen Zhizi,"Adventure, Fantasy",Movie,1,"Oct 31, 2020",85,0.0
Xiao Po Hai Da Zhuangyuan,"Adventure, Comedy, Fantasy",Movie,1,"Jan 1, 2021",64,0.0
Shibing Shunliu: Bing Wang Zhengfeng,Action,Movie,1,"Jan 17, 2020",64,0.0
Hua Qian Gu: Hua Hun Zhi Lu,Fantasy,ONA,1,"Mar 27, 2020",68,0.0
Long Hu Ji: Zhongyi Guanyunzhang,Fantasy,ONA,1,"Apr 16, 2020",59,0.0
Jingling Meng Ye Luoli,Fantasy,TV,234,"Jun 6, 2013 to ?",49,0.0
Meng wa,UNKNOWN,TV,26,2017 to ?,42,0.0
Mohuan Xian Zong (Movie),"Adventure, Fantasy",Movie,1,"May 30, 2014",60,0.0
Huoxian Chuanqi,"Action, Comedy",ONA,11,"Mar 11, 2016 to ?",54,0.0
Huoxian Chuanqi 2nd Season,"Action, Comedy",ONA,13,2017 to ?,41,0.0
Huoxian Chuanqi 3rd Season,"Action, Comedy",ONA,13,2018 to ?,40,0.0
Huoxian Chuanqi: Xiao Juchang,"Action, Comedy",ONA,30,Not available,43,0.0
Chi Ji Da Zuozhan,Comedy,ONA,14,"May 30, 2018 to Aug 29, 2018",50,0.0
Chi Ji Da Zuozhan 2nd Season,Comedy,ONA,20,"Jul 30, 2019 to Nov 26, 2019",49,0.0
Chi Ji Da Zuozhan 3rd Season,Comedy,ONA,24,"Jul 3, 2020 to Nov 27, 2020",53,0.0
Guli Guli,Fantasy,ONA,122,Not available,45,0.0
Guli Guli: Hao Xiguan,Fantasy,ONA,182,2015 to ?,41,0.0
Guli Guli: Dongwu Shijie,Fantasy,ONA,30,2019 to ?,36,0.0
Guli Guli: Yuanwang Ping,Fantasy,ONA,26,2017 to ?,35,0.0
Guli Donghua: Luoji Siwei Qimeng,UNKNOWN,ONA,59,Not available,38,0.0
Zhonghua Deyu Gushi,UNKNOWN,TV,260,2008 to 2013,38,0.0
Jiu Ye Shen Chuan,"Action, Adventure, Fantasy",ONA,13,"Dec 21, 2020 to Mar 8, 2021",516,0.0
Zhonghua Meide Gushi: Chengxin Pian,UNKNOWN,TV,50,Not available,38,0.0
Keke Ke Xin Yijia Ren,Comedy,TV,52,2003 to ?,45,0.0
Keke Ke Xin Yijia Ren 2,Comedy,TV,26,"Jul 2, 2006 to ?",43,0.0
Xiao Maguo He,"Adventure, Fantasy",TV,26,Not available,43,0.0
Long Dou Taiqiu,UNKNOWN,TV,52,"Apr 12, 2011 to ?",43,0.0
Fu Wu Shu: Sanshiliu Ji,"Adventure, Fantasy",TV,36,"Aug 20, 2008 to ?",50,0.0
Fu Wu Shu: Sunzi Bingfa,"Adventure, Fantasy",TV,26,Nov 2009 to ?,51,0.0
Fu Wu Shu: Zhanguo Fengyun,"Adventure, Fantasy",TV,26,Sep 2012 to ?,48,0.0
Xiao Qingtian Situ Gong,UNKNOWN,TV,26,2007 to ?,36,0.0
Xiayi Xiao Qingtian,Adventure,TV,65,"Jul 2, 2010 to Sep 1, 2010",70,0.0
Yin Cha Zhi Kung Fu Xue Yuan,UNKNOWN,TV,208,Jan 2007 to ?,35,0.0
Zuqiu Jianghu,Sports,ONA,26,"May 31, 2017 to Nov 22, 2017",59,0.0
Lao Dai He Xiao Dai,UNKNOWN,TV,52,"Aug 19, 2007 to ?",42,0.0
Xiaoxiong You En,Fantasy,TV,26,"Mar 28, 2017 to ?",34,0.0
Bun Bun,Fantasy,TV,26,2011,57,0.0
Chong Chong Nao Fantian,"Adventure, Fantasy",TV,104,2011 to ?,47,0.0
Er Tu Da Mengxiang,Fantasy,TV,36,"May 19, 2014 to ?",42,0.0
An Jie Shen Shi,"Action, Fantasy",ONA,22,"Dec 25, 2020 to May 21, 2021",744,6.22
Wan Jie Fa Shen,"Adventure, Fantasy, Romance",ONA,54,"Dec 21, 2020 to Jun 18, 2021",2756,7.17
Mo He Yu Gesheng,"Adventure, Fantasy",TV,365,"Jul 9, 2007 to ?",43,0.0
Caslon: Xun Long Ji,"Adventure, Fantasy",TV,26,Dec 2013 to ?,49,0.0
Mengxiang Jing Su,UNKNOWN,TV,52,2011 to ?,50,0.0
Xinghai Qi Hang,"Adventure, Fantasy, Sci-Fi",TV,26,Jan 2011 to ?,43,0.0
Liang Jia Funu,Comedy,TV,26,2009 to ?,44,0.0
Tuolaji Siji,"Adventure, Comedy",TV,10,2015 to ?,36,0.0
Chao Bian Wu Shou,"Action, Sci-Fi",TV,26,2017,64,0.0
Okashi na Sabaku no Suna to Manu,Comedy,TV,50,"Feb 14, 2021 to Feb 2, 2022",1562,5.58
Shenlan Shaonian,"Adventure, Fantasy",TV,52,2016 to ?,44,0.0
Hacker Ju Ji Shou,"Adventure, Sci-Fi",TV,26,2005 to ?,44,0.0
Tuzi Bang,UNKNOWN,TV,52,Not available,35,0.0
Tuzi Bang 2nd Season,UNKNOWN,TV,26,Not available,36,0.0
Tuzi Bang: Jixie Shi Lianmeng,"Adventure, Fantasy",TV,26,Not available,37,0.0
Sheng Guang Bu Hao Re,"Adventure, Comedy, Fantasy",TV,6,2016 to ?,40,0.0
Wuzi Pao: Yuanziya Baowei Zhan,Drama,Special,3,"Aug 31, 2015 to Sep 2, 2015",47,0.0
Kuaile Dudu,UNKNOWN,TV,104,"Jul 10, 2007 to ?",34,0.0
Nami Xueyuan,Comedy,ONA,26,"Jul 6, 2018 to ?",42,0.0
Piao Chong Bei Bei: Wu Long Mofa,Fantasy,TV,52,"Jan 25, 2010 to ?",40,0.0
Piao Chong Bei Bei: Shenmi Gongchang,Fantasy,TV,52,Not available,37,0.0
Piao Chong Bei Bei: Zhengjiu Gu Shu Zhen,Fantasy,TV,52,Not available,37,0.0
Xiaoxiong Ni Ao: Mengjing Xiao Zhen,Fantasy,TV,52,"Sep 26, 2016 to ?",35,0.0
Xiaoxiong Ni Ao: Huanqiu Luxing,Fantasy,TV,26,"Apr 23, 2018 to ?",36,0.0
Chongchong Yu Long Long,UNKNOWN,TV,52,2012 to ?,38,0.0
Hai Baolaile,UNKNOWN,TV,52,"Apr 1, 2010 to ?",37,0.0
Hai Baolaile 2nd Season,UNKNOWN,TV,52,2011 to ?,36,0.0
Hai Baolaile 3rd Season,UNKNOWN,TV,104,Not available,38,0.0
Tan Tan Mao: Qihuan Maxi Tuan,Fantasy,TV,52,Not available,38,0.0
Tan Tan Mao: Qihuan Maxi Tuan 2,Fantasy,TV,52,Not available,38,0.0
Tan Tan Mao: Qimiao Shijie,Fantasy,TV,32,2019 to ?,35,0.0
Tan Tan Mao: Qimiao Shijie 2nd Season,"Adventure, Fantasy",TV,26,2020 to ?,37,0.0
Yin Mi,UNKNOWN,TV,26,2008 to ?,38,0.0
Qianfang Gaoneng: Huaji,Comedy,ONA,8,"Jan 13, 2017 to Feb 10, 2017",48,0.0
Qianfang Gaoneng: La Ji,Comedy,ONA,16,"Jun 9, 2017 to Sep 22, 2017",44,0.0
Qianfang Gaoneng: Shen Fan Gou,Comedy,ONA,20,"Jun 7, 2016 to Nov 24, 2016",49,0.0
Haha Hua Xiao Ji Specials,Comedy,ONA,7,"Dec 25, 2017 to Feb 22, 2019",47,0.0
Er Er Er Ha Qi,Comedy,ONA,3,"Apr 14, 2018 to May 12, 2018",55,0.0
Haha Xiyou Xing,"Adventure, Fantasy",TV,40,2005 to ?,39,0.0
Fuxing Ba Jie,"Adventure, Fantasy",TV,104,Apr 2011 to ?,94,0.0
Fuxing Ba Jie: Da Nian Xiao Guai,"Adventure, Fantasy",Special,1,2015,42,0.0
Kuaile Xing Mao,"Adventure, Comedy, Fantasy, Sci-Fi",TV,208,2008 to 2015,97,0.0
Xing Mao Lixian Ji: Xingkong Da Maoxian,UNKNOWN,TV,36,Not available,44,0.0
Xing Mao Lixian Ji: Gucheng Da Maoxian,UNKNOWN,TV,52,Not available,44,0.0
Xing Mao: Da Xiao Xiyou,UNKNOWN,TV,50,Not available,44,0.0
Xing Mao Lixian Ji: Diqiu Da Maoxian,UNKNOWN,TV,83,Not available,45,0.0
Xing Mao Lixian Ji: Meishi Pian,UNKNOWN,TV,26,Not available,43,0.0
Kung Fu Xing Mao,Action,TV,52,2009 to ?,50,0.0
Kuaile Xing Mao Zhi: Mingsheng Pian,"Adventure, Fantasy",TV,13,2018,81,0.0
Kuaile Xing Mao: Mingsheng Pian 2nd Season,UNKNOWN,TV,26,Not available,44,0.0
Xing Mao: Xiyu Mi Zong,UNKNOWN,TV,50,Not available,44,0.0
Xing Mao Zhentan,UNKNOWN,TV,22,Not available,45,0.0
Xing Mao Lixian Ji: Guohua Pian,UNKNOWN,TV,26,2008 to ?,42,0.0
Xing Mao Lixian Ji: Shufa Pian,UNKNOWN,TV,26,Not available,40,0.0
Xing Mao: Sunzi Bingfa Pian,UNKNOWN,TV,13,Not available,46,0.0
Wanpi de Xiao Xing Mao,UNKNOWN,TV,26,"Jul 1, 2010 to ?",43,0.0
Xiao Xing Mao: Mohuan Yuezhang,UNKNOWN,TV,26,Not available,43,0.0
Xing Mao Lixian Ji: Shenhua Pian,UNKNOWN,TV,26,2009 to ?,44,0.0
Taoqi Xing Mao,UNKNOWN,TV,13,Feb 2007 to ?,43,0.0
Xiao Xing Mao He Shanshan,UNKNOWN,TV,26,Not available,45,0.0
Xing Mao Man Youji,Fantasy,TV,26,Feb 2009 to Feb 2010,58,0.0
Xing Mao Man Youji: San Jincun,"Adventure, Fantasy",TV,22,Not available,46,0.0
Kuaile Xing Mao: Tangshi Pian,UNKNOWN,TV,13,Not available,47,0.0
Xiao Xing Mao: Mohuan Yuezhang 2nd Season,UNKNOWN,TV,26,Not available,43,0.0
Taoqi Xing Mao 2nd Season,UNKNOWN,TV,13,Not available,44,0.0
Xing Mao Xunbao Ji,UNKNOWN,TV,13,2009 to ?,44,0.0
Xing Mao Xunbao Ji 2nd Season,UNKNOWN,TV,26,Not available,44,0.0
Zhengjiu Zhu Luo Ji,UNKNOWN,TV,13,Not available,48,0.0
Xing Mao de Mimi Jidi,UNKNOWN,TV,48,Jun 2009 to Feb 2010,57,0.0
Xing Da Qiu Kuai Yue Xue Yuan,UNKNOWN,TV,26,2010 to ?,44,0.0
Xiaoshi de Wenming,UNKNOWN,TV,13,Apr 2007 to Sep 2008,57,0.0
Wu Ren Dao Da Maoxian,"Adventure, Fantasy",TV,26,2006 to ?,58,0.0
Jixiang Mao Keke,Fantasy,TV,26,Jan 2009 to Jan 2011,75,0.0
Xing Mao Da Jiangtang,Fantasy,TV,38,2006 to ?,52,0.0
Xing Da Xing Donghua Xilie: Taikong Chuan,"Adventure, Sci-Fi",TV,26,2015,77,0.0
Kuaile Xing Mao: Shuihu Zhuan,Fantasy,TV,9,2010,77,0.0
Xing Mao Katong Tiandi,UNKNOWN,TV,26,Not available,44,0.0
Xing Mao Katong Tiandi 2nd Season,UNKNOWN,TV,10,Not available,45,0.0
Xing Mao Wenhua Da Jiangtang: Minjian Chuanqi,UNKNOWN,TV,27,Not available,45,0.0
Xing Mao Wenhua Da Jiangtang: Mingzhu Gushi,UNKNOWN,TV,35,Not available,45,0.0
Dai Jia Jia,UNKNOWN,TV,26,Not available,40,0.0
Rabby CC: Carol de Xinling Shijie,Fantasy,ONA,25,"Oct 9, 2015 to ?",44,0.0
Mengxiang Zhi Lu,UNKNOWN,ONA,100,Not available,37,0.0
Mengxiang Xue Yuan,UNKNOWN,ONA,100,Not available,40,0.0
Chan Yi,UNKNOWN,TV,15,2012,46,0.0
Menghuan Maomi Wu,Fantasy,TV,52,2015 to ?,40,0.0
Lao Kai de Qihuan Tanxian Zhi Lu,"Adventure, Fantasy",TV,24,2014 to ?,43,0.0
Xi Hang Zongdongyuan: Loulan Chuanqi,Fantasy,TV,26,2014 to ?,42,0.0
Xiong Hai Zi Anquan Xiao Jiangtang,Fantasy,ONA,17,2019 to ?,36,0.0
Xiong Hai Zi Dizi Gui,UNKNOWN,ONA,37,2018 to ?,35,0.0
Xiong Haizi Sanzijing,UNKNOWN,ONA,13,Not available,37,0.0
Guai Guai Pinyin Lixian Ji,Adventure,TV,20,2015 to ?,43,0.0
Guai Guai Pinyin Lixian Ji 2nd Season,Adventure,TV,21,2016 to ?,45,0.0
Bing Ji Chaoren Kuaidi Xia,Comedy,ONA,6,2015 to ?,45,0.0
Bing Ji Chaoren Kuaidi Xia 2nd Season,Comedy,ONA,16,"Jun 14, 2016 to ?",54,0.0
Kuaidi Xia Waizhuan,Comedy,TV,67,2015 to ?,39,0.0
Menghuan Bu Bu Xing,UNKNOWN,TV,100,2014 to ?,40,0.0
Happy Fuzi,"Comedy, Fantasy",TV,104,Aug 2000 to Aug 2004,84,0.0
Happy Fuzi: Chao Neng Pao Dan,"Comedy, Fantasy",TV,52,Apr 2010 to ?,51,0.0
Happy Fuzi: Yu Shui Jingang,"Comedy, Fantasy",TV,26,Nov 2009 to ?,51,0.0
Muzhi Xiong Kangji,Fantasy,TV,104,2006 to ?,45,0.0
Heper Yijia,"Adventure, Fantasy, Sci-Fi",TV,52,2013 to ?,51,0.0
Koushui Liang Shan,Comedy,ONA,20,"Jul 18, 2018 to Nov 28, 2018",55,0.0
Kuaile Dongxi,Comedy,TV,60,2003 to ?,46,0.0
Kuaile Dongxi 2,Comedy,TV,60,2006 to ?,45,0.0
Kuaile Dongxi 3,Comedy,TV,60,2009 to ?,45,0.0
Kuaile Dongxi 4,Comedy,TV,60,2010 to ?,46,0.0
Kuaile Xiao Dongxi,Comedy,TV,60,2010 to ?,46,0.0
Dongxi Chaguan,Comedy,TV,26,2008 to ?,47,0.0
Kuai Yue Jia Nianhua,Comedy,TV,26,2012 to ?,44,0.0
Kuaile Xiang Qian Chong,Comedy,TV,60,2015 to ?,44,0.0
Kuaile Dongxi 7,Comedy,TV,58,2018,45,0.0
Wai Shuo Si Da Mingzhu: Wai Shuo Honglou,"Comedy, Fantasy",Special,1,Not available,49,0.0
Feng Hua Xianzi Waizhuan,"Comedy, Fantasy",TV,58,Oct 2010 to ?,51,0.0
Qing Ping Chuanshuo: Dao Tu,Fantasy,ONA,1,2015,44,0.0
Yuncai Mianbao,Fantasy,TV,78,"Jan 21, 2012 to ?",48,0.0
Yuncai Mianbao 2,Fantasy,TV,78,"Mar 9, 2015 to ?",46,0.0
Mumu Buluo,Fantasy,TV,52,2012 to ?,43,0.0
Mumu Buluo 2nd Season,Fantasy,TV,52,2014 to ?,43,0.0
Tianyan Xiao Shentong,Fantasy,TV,500,2005 to ?,68,0.0
Tianyan You Qi Zhao,Adventure,TV,156,2005 to ?,61,0.0
Tian Yanshen Hu,Fantasy,TV,52,2007 to ?,61,0.0
Tian Yanshen Niu,Fantasy,TV,52,Nov 2009 to ?,57,0.0
Tian Yanshen Tu,Fantasy,TV,52,Jun 2011 to ?,56,0.0
Tianyan Zhi Zhan,"Adventure, Sci-Fi",TV,52,Jul 2012 to ?,62,0.0
Tianyan Guilai,Fantasy,TV,624,"Apr 16, 2018 to 2021",61,0.0
AU,Comedy,TV,60,2013 to ?,67,0.0
AU: Kaixin Tongnian,Comedy,TV,60,Mar 2013 to 2013,68,0.0
AU: Baoxiao Xiaoyuan,Comedy,TV,60,Nov 2013 to Dec 2013,91,0.0
AU: Wei Cengzhang Jia You,Comedy,TV,60,Dec 2013 to 2014,68,0.0
AU: Shenqi Luobo,Comedy,TV,52,2015,67,0.0
AU: Shenqi Luobo 2nd Season,Comedy,TV,26,2015,64,0.0
AU: Shenqi Luobo 3rd Season,Comedy,TV,26,2016,64,0.0
AU: Tu Zhi Lai Le,Comedy,TV,26,2016,63,0.0
AU: Tu Zhi Lai Le 2nd Season,Comedy,TV,26,2016,63,0.0
AU: Shen Qihuan Jing,Comedy,TV,26,2017,64,0.0
AU: De Fannao,Comedy,TV,26,2018,64,0.0
AU: Tong Qu Xilie,Comedy,TV,100,2018 to ?,65,0.0
AU: Mengxiang Xilie,Comedy,TV,40,2015,64,0.0
AU: Xue Kexue,Comedy,TV,32,2016,63,0.0
AU: Xue Kexue 2nd Season,Comedy,TV,30,2018,63,0.0
AU: De Richang,Comedy,TV,5,2020,64,0.0
AU: De Fannao 2nd Season,Comedy,TV,26,2019,63,0.0
Mao Qiu Daya Qi Qu: Lu Zhi Benzou Da Caoyuan,UNKNOWN,TV,52,Feb 2012 to 2012,51,0.0
Mao Qiu Daya Qi Qu: Lu Zhi Tuo Xian Piaoliu Ji,UNKNOWN,TV,52,2013,50,0.0
Mao Qiu Daya Qi Qu: Lu Zhi Zui Zhang De Lutu,Adventure,TV,50,2017,52,0.0
Renao Yijia,UNKNOWN,TV,200,2011 to ?,57,0.0
Niguang Zhi Chan,"Adventure, Fantasy",ONA,3,"Dec 14, 2017 to Apr 13, 2018",119,0.0
Xiao Rui Yu Da Mowang,Fantasy,TV,30,"May 28, 2011 to ?",36,0.0
Xiao Rui Yu Da Mowang: Kuaile Leitai,Fantasy,TV,52,2012 to ?,36,0.0
Kaixin Zi Le Fantian,Fantasy,TV,15,2012 to ?,37,0.0
Xiao Rui Yu Da Mowang: Jiazu Shiming,Fantasy,TV,52,"Sep 4, 2013 to ?",37,0.0
Xiao Rui Yu Da Mowang: Kuai Yue Jiazu,Fantasy,TV,26,Not available,35,0.0
Xiao Rui Yu Da Mowang: Shenqi de Mo Pan,Fantasy,TV,60,Not available,40,0.0
Xiao Rui Yu Da Mowang: Da Mowang De Yinmou,Fantasy,TV,30,Not available,37,0.0
Meng Bao Chengzhang Jiaoyu,Fantasy,ONA,90,2015 to ?,38,0.0
Sou Shen Ji,"Adventure, Fantasy",TV,52,2006 to ?,46,0.0
Konglong Laile,Fantasy,TV,26,Jul 2013 to Oct 2014,64,0.0
Xiao Ji Caihong,Fantasy,TV,117,May 2016 to ?,37,0.0
Slow Loop,"Gourmet, Slice of Life",TV,12,"Jan 7, 2022 to Mar 25, 2022",58508,7.25
FutureNova: Image Album,Sci-Fi,Movie,1,"Feb 1, 2014",85,0.0
Shentan Wei Wei Mao,UNKNOWN,TV,320,2004 to ?,41,0.0
Mo Mo Dao,UNKNOWN,TV,52,2005 to ?,42,0.0
Wanju Zhi Jia,Fantasy,TV,38,1998 to ?,40,0.0
Ruyi Tu: Kaixin Nongchang,Fantasy,TV,312,2011 to ?,42,0.0
Ruyi Tu: Hong Jing Shi,Fantasy,TV,52,2011 to ?,40,0.0
Ruyi Tu: Hong Jing Shi Xuji,Fantasy,TV,52,2011 to ?,39,0.0
JM Xiong: Shenqi Moshu,Fantasy,TV,52,"Jan 17, 2011 to ?",41,0.0
JM Xiong: Mohuan Maxi Tuan,Fantasy,TV,52,2012 to ?,42,0.0
JM Xiong: Tianxin Jijie Hao,Fantasy,TV,52,"Apr 2, 2013 to ?",43,0.0
JM Xiong: Mo Ping Da Maoxian,Fantasy,TV,52,2014 to ?,41,0.0
Shucai Bu Jimo,Fantasy,TV,432,Not available,37,0.0
Shucai Jingling Da Maoxian,Fantasy,TV,26,Not available,36,0.0
Shucai Baobao Yao Hui Jia,Fantasy,TV,26,Not available,37,0.0
Shucai Wangguo,"Adventure, Fantasy",TV,32,2014 to ?,44,0.0
Moshi Juexing: Ruqin,"Action, Sci-Fi",ONA,13,"May 24, 2018 to Aug 9, 2018",256,0.0
Moshi Juexing: Ruqin 2nd Season,"Action, Sci-Fi",ONA,13,"Jul 11, 2019 to Oct 3, 2019",203,0.0
Moshi Juexing: Suyuan,"Action, Sci-Fi",ONA,26,"Dec 22, 2020 to Jul 6, 2021",352,0.0
Dou Hun Wei Zhi Xuan Yue Qiyuan IV,"Action, Fantasy",ONA,13,"May 19, 2020 to Aug 4, 2020",283,0.0
Doo Er Huan Dong Xilie,UNKNOWN,TV,17,2009,42,0.0
Maiquan Keke Man Youji,UNKNOWN,TV,36,2009 to ?,45,0.0
"Zhengjiu Diqiu, Maiquan Keke Zai Hang Dong",UNKNOWN,TV,52,"Mar 7, 2011 to ?",46,0.0
Maiquan Keke Yuangu Da Maoxian,Adventure,TV,46,Feb 2010 to Oct 2010,65,0.0
Maiquan Keke Xunbao Ji,UNKNOWN,TV,36,2010 to ?,46,0.0
Maiquan Keke Bao Dao Qiyu Ji,Adventure,TV,52,2011 to ?,45,0.0
Zhi Qu Haidi Cheng,Adventure,TV,118,Not available,45,0.0
Chao Shiqi Xingqiu Lixian Ji,Adventure,TV,118,Not available,46,0.0
Shen Quan Yong Chuang Jixie Cheng,Adventure,TV,118,Not available,45,0.0
Dongwu Xingxing Da Tanxian,Adventure,TV,52,Not available,45,0.0
Xiaoyuan Qiyi Shijian Bu,UNKNOWN,TV,52,Not available,42,0.0
Xin Maiquan Keke Meishi Tianxia,UNKNOWN,TV,26,2017 to ?,43,0.0
Xin Maiquan Keke Meishi Tianxia 2nd Season,UNKNOWN,TV,26,2018 to ?,43,0.0
Baba Qu Na Er,Fantasy,TV,52,"May 10, 2014 to ?",43,0.0
Baba Qu Na Er 2,Adventure,TV,52,Not available,44,0.0
Balabang,Fantasy,TV,26,2008 to ?,46,0.0
Wuzi Shuo,UNKNOWN,TV,50,Not available,41,0.0
Yule Shuangxiang Pao,Comedy,TV,114,2011 to ?,44,0.0
Shikong Shaonian,"Adventure, Fantasy",TV,52,"Nov 12, 2008 to ?",43,0.0
Hei! Xingxing Hu,Fantasy,TV,26,2007 to ?,38,0.0
Hei! Xingxing Hu 2nd Season,Fantasy,TV,26,2008 to ?,37,0.0
Xingxing Hu de Tiyan,Fantasy,TV,104,"Oct 31, 2012 to ?",38,0.0
Moli Xingxing Hu,Fantasy,TV,52,2012 to ?,36,0.0
Mofa Senlin Da Maoxian,Fantasy,ONA,52,Not available,36,0.0
Meide Huayuan,Fantasy,ONA,98,Not available,38,0.0
Mofa Mama Jiang Gushi,Fantasy,ONA,52,Not available,36,0.0
Xiao Diao Jianghu,Comedy,ONA,34,2010 to ?,37,0.0
Sanzijing Waizhuan,Fantasy,TV,26,"Sep 2, 2013 to ?",36,0.0
Xiyou Ji de Gushi,Fantasy,TV,52,"Jan 26, 2014 to ?",35,0.0
Jixian Kuangbiao,"Sci-Fi, Sports",TV,52,Mar 2009 to ?,48,0.0
Fuxing Ba Jie: Ji Ji Huo Hou Nian,Fantasy,Special,1,"Feb 8, 2016",45,0.0
Ben Lang He Ta de Xiao Huoban,Fantasy,TV,36,"Sep 29, 2018 to ?",43,0.0
Huan Yue Zheng Qianfang,Comedy,TV,53,2007 to ?,38,0.0
Kuma Kuma Kuma Bear Punch!,"Adventure, Comedy, Fantasy",TV,12,"Apr 3, 2023 to Jun 19, 2023",58525,7.27
Aggressive Retsuko (ONA) 4th Season,Comedy,ONA,10,"Dec 16, 2021",49380,7.28
Jia You Jiang Hu,Comedy,TV,26,2011 to ?,40,0.0
Xin Shaonian Huang Feihong,Adventure,TV,36,1999 to ?,43,0.0
Kangri Xiao Qibing,UNKNOWN,TV,26,2006 to ?,45,0.0
Tunshu Wan Da,Fantasy,TV,52,Nov 2012 to ?,35,0.0
Baobao Bashi: Xiongmao Qi Qi,Fantasy,ONA,16,2017 to ?,40,0.0
Baobao Bashi: Qimiao Shuxue Da Maoxian,Fantasy,ONA,24,2017 to ?,39,0.0
Baobao Bashi: Qimiao Jiuyuan Dui,Fantasy,ONA,32,2018 to ?,40,0.0
Baobao Bashi: Qimiao Hanzi,Fantasy,ONA,48,2016 to ?,38,0.0
Baobao Bashi: Qimiao Hao Xiguan,Fantasy,ONA,17,2016 to ?,39,0.0
Baobao Bashi: Qimiao de Jieri,Fantasy,ONA,9,2016 to ?,40,0.0
Ku Bao Jiazu: Xiao Tu Xiou,Fantasy,TV,130,2015 to ?,35,0.0
Ruyi Ku Bao: Dong Dou Hu,Fantasy,TV,52,Oct 2013 to Dec 2013,49,0.0
Ruyi Ku Bao: Xi Ou Tu,Fantasy,TV,52,Nov 2013 to Jan 2014,47,0.0
Ruyi Ku Bao: Fei Li Niu,Fantasy,TV,52,Oct 2013 to Dec 2013,47,0.0
Ruyi Ku Bao: Guai Li Shu,Fantasy,TV,52,Jun 2013 to Sep 2013,46,0.0
Ruyi Ku Bao: Qiyi Gou,Fantasy,TV,52,Apr 2013 to Jul 2013,48,0.0
Ruyi Ku Bao: Shanzhai Ji,Fantasy,TV,52,Mar 2013 to Jul 2013,48,0.0
Ruyi Ku Bao: Mile Hou,Fantasy,TV,52,Nov 2012 to Jan 2013,49,0.0
Ruyi Ku Bao: Ben Ben Zhu,Fantasy,TV,52,Jun 2013 to Sep 2013,47,0.0
Ruyi Ku Bao: Xiao Shen Yang,Fantasy,TV,52,Sep 2012 to Nov 2012,49,0.0
Ruyi Ku Bao: Qicai She,Fantasy,TV,52,Jan 2012 to Mar 2012,53,0.0
Ruyi Ku Bao: Bao Li Long,Fantasy,TV,52,Nov 2011 to Jan 2012,50,0.0
Ruyi Ku Bao: Sha Qi Ma,Fantasy,TV,52,Aug 2012 to Oct 2012,49,0.0
Kuaile Tuo Mo Ta,"Comedy, Slice of Life",TV,52,Aug 2010 to Jul 2011,114,0.0
Urvan,"Mystery, Sci-Fi",ONA,1,"Feb 12, 2021",941,5.85
Kuaile Tuo Mo Ta: Xiao Zhen Le Fantian,"Comedy, Slice of Life",TV,52,2012 to 2013,80,0.0
Kuaile Tuo Mo Ta: Baoxiao Cheng Yuhui,Adventure,TV,38,Jun 2013 to 2013,71,0.0
Kuaile Tuo Mo Ta: Chengyu Da Cidian,"Comedy, Slice of Life",TV,52,2015,79,0.0
Xiao Zhuren: Zhengyi Lianmeng,"Comedy, Sci-Fi",TV,52,2017,83,0.0
Bi Jia Zhu,Comedy,TV,53,2006 to ?,87,0.0
